Parameter,Dyn infl,Reactions
k1,1.961026013,re1
k10,3.372608394,re11
k11,2.363004971,re23
k12,2.729891858,re24
k13,0.309059357,re26
k14,0.527720439,re27
k15,0.321930404,re29
k16,0.611692234,re31
k17,0.336118886,re30
k18,0.306195762,re32
k19,0.381985366,re33
k2,0.577841599,re3
k20,0.093190129,re38
k21,0.125726071,re35
k22,0.578066768,re40
k23,0.102171338,re41
k24,0.319531842,re43
k25,0.263393296,re13
k26,0.440632657,re37
k27,0.388459261,re21
k28,0.396304694,re22
k3,3.524191404,re4
k4,1.175085776,re8
k5,0.503040902,re9
k6,0.504163007,re15
k7,0.610175197,re6
k8,0.448554947,re17
k9,0.1439153,re19
k_1,1.506590419,re1
k_10,0.003368158,re11
k_11,1.761218376,re23
k_12,0.002726143,re24
k_13,0.106538224,re26
k_14,0.531863872,re27
k_15,0.065879984,re29
k_16,0.520214762,re31
k_17,4.79975E-05,re30
k_18,0.292193006,re32
k_19,0.000381621,re33
k_2,0.533505816,re3
k_20,9.31499E-06,re38
k_21,1.25677E-05,re35
k_22,0.574734788,re40
k_23,0.000101785,re41
k_24,0.297378663,re43
k_25,0.000263045,re13
k_26,0.431472873,re37
k_27,0.407077921,re21
k_28,0.388540772,re22
k_3,0.003519557,re4
k_4,0.864339861,re8
k_5,0.000502338,re9
k_6,0.000503271,re15
k_7,0.000609235,re6
k_8,0.004429574,re17
k_9,0.001424192,re19
kc1,3.61816793,re2
kc10,0.25832392,re12
kc12,0.240655258,re25
kc19,0.228696582,re34
kc20,0.146541882,re39
kc21,0.099348886,re36
kc23,0.095258216,re42
kc25,0.216940771,re14
kc3,0.454964911,re5
kc5,0.270690294,re10
kc6,0.188214588,re16
kc7,0.283923494,re7
kc8,0.272240919,re18
kc9,0.209811219,re20
v,0.40154851,"re38, re33, re27, re29, re30, re31, re32, re35"
