Parameter,Dyn infl,Reactions
EGF_off,0.094699064,"EGF_binding_to_E1PT, EGF_Binding_to_ErbB1, EGF_in_EC_compartment"
HRGoff_3,0.218175833,"HRG_in_EC_compartment, HRG_Binding_to_ErbB3"
HRGoff_4,0.446497099,"HRG_in_EC_compartment, HRG_binding_to_E4PT, HRG_Binding_to_ErbB4"
KmPY,0.008154316,"Net_RasGAP_Phosphorylation, Net_E23_Phosphorylation, Net_E14_Phosphorylation, Net_E11_Phosphorylation, Net_Gab1_Phosphorylation, Net_E34_Phosphorylation, Net_Shc_Phosphorylation, Net_E24_Phosphorylation, Net_E44_Phosphorylation, Net_E12_Phosphorylation, Net_E13_Phosphorylation"
Kmf47,0.637881468,Net_Akt_Activation
Kmf48,2.765958917,Net_PIP3_Production
Kmf49,0.809738678,Net_RasGTP_Production
Kmf51,0.477577841,Net_Raf_Activation
Kmf52,0.438281939,Net_MEK_Activation
Kmf54,0.724958324,Net_SOS_ST_Phosphorylation
Kmf55,0.897169417,Net_Gab1_ST_Phosphorylation
Kmf81,0.29330982,Net_E1_ST_Phosphorylation
Kmf82,0.740336385,Net_E2_ST_Phosphorylation
Kmf83,0.483456485,Net_E4_ST_Phosphorylation
Kmf84,0.448750508,Net_E_E1_ST_Phosphorylation
Kmf85,0.671457377,Net_H_E4_ST_Phosphorylation
Kmr47,0.994361463,Net_Akt_Activation
Kmr48,3.457891234,Net_PIP3_Production
Kmr49,0.188803557,Net_RasGTP_Production
Kmr49b,0.136561924,Net_RasGTP_Production
Kmr52,0.639243922,Net_MEK_Activation
Kmr54,0.837828962,Net_SOS_ST_Phosphorylation
Kmr55,0.939263933,Net_Gab1_ST_Phosphorylation
Kmr81,0.249326512,Net_E1_ST_Phosphorylation
Kmr82,0.663063473,Net_E2_ST_Phosphorylation
Kmr83,0.429285356,Net_E4_ST_Phosphorylation
Kmr84,0.444707512,Net_E_E1_ST_Phosphorylation
Kmr85,0.580646639,Net_H_E4_ST_Phosphorylation
Kmrb51,0.708872548,Net_Raf_Activation
PTEN,3.4770188,Net_PIP3_Production
VeVc,3.23508328,"HRG_in_EC_compartment, EGF_in_EC_compartment"
VmaxPY,0.00816094,"Net_RasGAP_Phosphorylation, Net_E23_Phosphorylation, Net_E14_Phosphorylation, Net_E11_Phosphorylation, Net_Gab1_Phosphorylation, Net_E34_Phosphorylation, Net_Shc_Phosphorylation, Net_E24_Phosphorylation, Net_E44_Phosphorylation, Net_E12_Phosphorylation, Net_E13_Phosphorylation"
Vmaxr47,1.02804628,Net_Akt_Activation
Vmaxr51,0.824585252,Net_Raf_Activation
Vmaxr52,0.792590433,Net_MEK_Activation
Vmaxr54,0.843488026,Net_SOS_ST_Phosphorylation
Vmaxr55,0.948602546,Net_Gab1_ST_Phosphorylation
Vmaxr81,0.350648701,Net_E1_ST_Phosphorylation
Vmaxr82,0.750498201,Net_E2_ST_Phosphorylation
Vmaxr83,0.584179659,Net_E4_ST_Phosphorylation
Vmaxr84,0.456188311,Net_E_E1_ST_Phosphorylation
Vmaxr85,0.628550745,Net_H_E4_ST_Phosphorylation
a98,0.038372449,mwbbde76d1_155c_4264_8447_4457527547cb
b98,1.008364303,mwbbde76d1_155c_4264_8447_4457527547cb
eps,5.20623E-16,"Net_E34PShc_binding, Net_E12PRasGAP_binding, Net_E11PRasGAP_binding, Net_E11PShc_binding, Net_E11PGrb2_binding, Net_E23PRasGAP_binding, Net_E23PShc_binding, Net_E13RasGAP_Binding, Net_E14Shc_Binding, Net_E14Grb2_Binding, Net_E34PRasGAP_binding, Net_E13Grb2_Binding, Net_E23PGrb2_binding, Net_Gab1Shc_binding, Net_E13Shc_Binding, Net_E24PRasGAP_binding, Net_ShcGrb2_binding, Net_E12PGrb2_binding, Net_E14RasGAP_Binding, Net_E44PRasGAP_binding_2, Net_E44PRasGAP_binding_1, Net_E34PGrb2_binding, Net_Gab1RasGAP_binding, Net_PIP3_Production, Gab1_binding_to_SigGO, Net_E44PShc_binding, Net_E12PShc_binding, Net_Grb2Gab1_binding, Net_E24PGrb2_binding, Net_Gab1PIP3_binding, Net_E24PShc_binding"
kPTP10,0.495281987,Net_E11_Phosphorylation
kPTP11,0.392557583,Net_E12_Phosphorylation
kPTP12,1.12390774,Net_E23_Phosphorylation
kPTP13,0.910111577,Net_E34_Phosphorylation
kPTP14,0.182703529,Net_E24_Phosphorylation
kPTP15,0.227881414,Net_E44_Phosphorylation
kPTP38,1.032967517,Net_Shc_Phosphorylation
kPTP39,2.906118107,Net_Gab1_Phosphorylation
kPTP50,0.508375848,Net_RasGAP_Phosphorylation
kPTP63,0.784307694,Net_E13_Phosphorylation
kPTP64,0.229670318,Net_E14_Phosphorylation
kcat90,0.388520187,pERK_production
kcat92,1.025689732,ERKstar_production
kcat94,0.991785218,ERKstar_dephosphorylation
kcat96,0.36005398,pERK_dephosphorylation
kcon49,0.77627323,Net_RasGTP_Production
kdeg,0.647763595,"E11T_Degradation, E11G_Degradation, E11P_Degradation, E11S_Degradation, E11R_Degradation"
kf10,0.498501345,Net_E11_Phosphorylation
kf11,0.394166867,Net_E12_Phosphorylation
kf12,1.128417625,Net_E23_Phosphorylation
kf13,0.912389495,Net_E34_Phosphorylation
kf14,0.182923923,Net_E24_Phosphorylation
kf15,0.228193811,Net_E44_Phosphorylation
kf38,1.033708743,Net_Shc_Phosphorylation
kf39,2.908949984,Net_Gab1_Phosphorylation
kf47,1.028269102,Net_Akt_Activation
kf48,3.486751852,Net_PIP3_Production
