Parameter,Dyn infl,Reactions
KmAkt,0.344860754,AktActivationReaction
KmC3G,0.105561664,Rap1ActivationReaction
KmC3GNGF,0.011574852,C3GActivationReaction
KmEGF,0.182935481,SosActivationByEGFReaction
KmNGF,0.033322396,SosActivationByNGFReaction
KmPI3K,0.019705652,PI3KbyEGFRActivationReaction
KmPI3KRas,0.096912226,PI3KbyRasActivationReaction
KmRaf1ByAkt,0.043303534,Raf1ByAktDeactivationReaction
KmRap1ToBRaf,0.73567713,BRafByRap1ActivationReaction
KmRapGap,1.069166675,Rap1DeactivationReaction
KmRasGap,0.869567504,RasDeactivationReaction
KmRasToRaf1,0.305000218,Raf1ByRasActivationReaction
KmSos,0.233298778,RasActivationReaction
KmdBRaf,0.820534536,BRafbyPPtaseDeactivationReaction
KmdErk,0.236664873,ErkDeactivationReaction
KmdMek,0.425561782,MekDeactivationReaction
KmdRaf1,0.212676616,Raf1byPPtaseDeactivationReaction
KmdSos,0.486470257,SosDeactivationReaction
KmpBRaf,0.111629468,MekbyBRafActivationReaction
KmpMekCytoplasmic,0.215887803,ErkActivationReaction
KmpP90Rsk,0.515394063,P90RskActivationReaction
KmpRaf1,0.180755111,MekbyRaf1ActivationReaction
kAkt,0.39068395,AktActivationReaction
kC3G,1.121758265,Rap1ActivationReaction
kC3GNGF,0.06856687,C3GActivationReaction
kEGF,0.185588891,SosActivationByEGFReaction
kNGF,0.47733713,SosActivationByNGFReaction
kPI3K,0.026676421,PI3KbyEGFRActivationReaction
kPI3KRas,0.136645332,PI3KbyRasActivationReaction
kRap1ToBRaf,0.821276571,BRafByRap1ActivationReaction
kRapGap,1.121330015,Rap1DeactivationReaction
kRasGap,0.881622934,RasDeactivationReaction
kRasToRaf1,0.870891346,Raf1ByRasActivationReaction
kSos,0.881472734,RasActivationReaction
kdBRaf,0.820586079,BRafbyPPtaseDeactivationReaction
kdErk,0.259228836,ErkDeactivationReaction
kdMek,0.532569425,MekDeactivationReaction
kdRaf1,0.844815626,Raf1byPPtaseDeactivationReaction
kdRaf1ByAkt,0.043610597,Raf1ByAktDeactivationReaction
kdSos,0.518283575,SosDeactivationReaction
kpBRaf,0.434490944,MekbyBRafActivationReaction
kpMekCytoplasmic,0.263235114,ErkActivationReaction
kpP90Rsk,0.580165763,P90RskActivationReaction
kpRaf1,0.200597375,MekbyRaf1ActivationReaction
krbEGF,0.00331065,EGFBindingReaction
krbNGF,0.328707153,NGFBindingReaction
kruEGF,5.67845E-05,EGFUnbindingReaction
kruNGF,0.08736787,NGFUnbindingReaction
