Parameter,Dyn infl,Reactions
J20ppx,0.412471461,degradation_1
Jacdh,0.091119382,CDH1i_activation
Jaiep,0.330187139,Activation_of_IEP
Jamcm,0.857543839,"Synthesis_of_CLB2, Synthesis_of_SWI5, Synthesis_of_inactive_CDC20, PDS1_synthesis"
Jasbf,0.154386581,"Synthesis_of_CLB5, CDC6_synthesis, PDS1_synthesis, Synthesis_of_CLN2"
Jatem,0.1375019,TEM1_activation
Jd2c1,0.36697949,"Phosphorylation_of_C2, Phosphorylation_of_C5, Phosphorylation_of_SIC1"
Jd2f6,0.908367256,"Phosphorylation_of_CDC6, F5_phosphorylation, F2_phosphorylation"
Jicdh,0.155373101,Inactivation_3
Jiiep,0.783946499,Inactivation_1
Jimcm,3.812323605,"Synthesis_of_CLB2, Synthesis_of_SWI5, Synthesis_of_inactive_CDC20, PDS1_synthesis"
Jisbf,0.502316897,"Synthesis_of_CLB5, CDC6_synthesis, PDS1_synthesis, Synthesis_of_CLN2"
Jitem,0.545063603,inactivation_1
Jpds,0.556034016,degradation_1
Jspn,1.725774194,Spindle_formation
ebudb5,0.273458418,Budding
ebudn2,0.381557276,Budding
ebudn3,0.004375024,Budding
ec1b2,0.173076744,"Phosphorylation_of_C2, Phosphorylation_of_C5, Phosphorylation_of_SIC1"
ec1b5,0.05607746,"Phosphorylation_of_C2, Phosphorylation_of_C5, Phosphorylation_of_SIC1"
ec1k2,0.078004919,"Phosphorylation_of_C2, Phosphorylation_of_C5, Phosphorylation_of_SIC1"
ec1n2,2.558002444,"Phosphorylation_of_C2, Phosphorylation_of_C5, Phosphorylation_of_SIC1"
ec1n3,0.77989752,"Phosphorylation_of_C2, Phosphorylation_of_C5, Phosphorylation_of_SIC1"
ef6b2,0.302688779,"Phosphorylation_of_CDC6, F5_phosphorylation, F2_phosphorylation"
ef6b5,0.360514126,"Phosphorylation_of_CDC6, F5_phosphorylation, F2_phosphorylation"
ef6k2,0.068969626,"Phosphorylation_of_CDC6, F5_phosphorylation, F2_phosphorylation"
ef6n2,2.52392148,"Phosphorylation_of_CDC6, F5_phosphorylation, F2_phosphorylation"
ef6n3,0.67861984,"Phosphorylation_of_CDC6, F5_phosphorylation, F2_phosphorylation"
eicdhb2,0.213684532,Inactivation_3
eicdhb5,0.336022865,Inactivation_3
eicdhn2,1.299385855,Inactivation_3
eicdhn3,0.037528079,Inactivation_3
eorib2,0.21363898,DNA_synthesis
eorib5,0.313244325,DNA_synthesis
esbfb5,0.083681005,"Synthesis_of_CLB5, CDC6_synthesis, PDS1_synthesis, Synthesis_of_CLN2"
esbfn2,0.916029755,"Synthesis_of_CLB5, CDC6_synthesis, PDS1_synthesis, Synthesis_of_CLN2"
esbfn3,7.004112307,"Synthesis_of_CLB5, CDC6_synthesis, PDS1_synthesis, Synthesis_of_CLN2"
k,0.091131912,Inactivation_2
ka15_p,0.014031631,CDC15_activation
ka15_p_p,0.48031867,CDC15_activation
ka15p,0.000298811,CDC15_activation
ka20_p,1.079464157,Activation_of_CDC20
ka20_p_p,1.229161693,Activation_of_CDC20
kacdh_p,0.25310418,CDH1i_activation
kacdh_p_p,0.463941368,CDH1i_activation
kaiep,2.858578954,Activation_of_IEP
kamcm,7.165299791,"Synthesis_of_CLB2, Synthesis_of_SWI5, Synthesis_of_inactive_CDC20, PDS1_synthesis"
kasb2,0.339716439,Assoc_of_CLB2_and_SIC1
kasb5,0.286840444,Assoc_of_CLB5_and_SIC1
kasbf,7.839511288,"Synthesis_of_CLB5, CDC6_synthesis, PDS1_synthesis, Synthesis_of_CLN2"
kasesp,0.171471015,Assoc_with_ESP1_to_form_PE
kasf2,1.209203792,CLB2CDC6_complex_formation
kasf5,0.335895667,CLB5CDC6_complex_formation
kasrent,0.967654605,Assoc_with_NET1_to_form_RENT
kasrentp,0.1769307,Assoc_with_NET1P_to_form_RENTP
kaswi,0.16564439,Activation_of_SWI5
kd14,4.467070394,"Degradation_of_CDC14_in_RENTP, Degradation_of_CDC14_in_RENT, CDC14_degradation"
