Parameter,Dyn infl,Reactions
Ca2_0,0.018412238,v_r32
F,0.310030298,v_r33
Jdark,0.310030304,v_r33
Kc,0.234795971,v_r34
Rtot,1.12960064,v_r1
Vcyto,0.345181324,v_r33
betadark,0.191228473,v_r35
betasub,0.188181424,v_r35
cGMPdark,0.942473008,v_r33
eT,0.991217022,v_r31
fCa,0.281844487,v_r33
gammaCa,0.566429224,v_r32
k1,0.897349261,v_r31
k2,0.981693722,v_r31
kA2,0.031518182,"v_r5_5, v_r5_4, v_r5_6, v_r5_1, v_r5_3, v_r5_2"
kA3,0.48345051,"v_r6_2, v_r6_3, v_r6_1, v_r6_6, v_r6_4, v_r6_5"
kG1_0,0.619093602,v_r13_0
kG2,0.514899494,"v_r13_3, v_r13_2, v_r13_1, v_r13_0, v_r13_6, v_r13_5, v_r13_4, v_r8"
kG3,0.465310253,"v_r14_0, v_r14_1, v_r14_2, v_r14_3, v_r14_4, v_r14_5, v_r14_6, v_r9"
kG4_GDP,0.206845644,"v_r14_0, v_r14_1, v_r14_2, v_r14_3, v_r14_4, v_r14_5, v_r14_6, v_r9"
kG5_GTP,0.333244313,"v_r15_1, v_r15_0, v_r15_3, v_r15_2, v_r15_5, v_r15_4, v_r15_6, v_r10"
kG6,0.321995969,"v_r16_6, v_r16_4, v_r16_2, v_r16_3, v_r16_0, v_r16_1, v_r16_5, v_r11"
kG7,0.06402027,v_r17
kGrecyc,0.966118018,v_r29
kGshutoff,5.95913E-07,v_r28
kOps,0.472849286,v_r8
kP1,0.214876456,v_r18
kP2,0.063811279,v_r19
kP3,0.205044421,v_r20
kP4,0.082941141,v_r21
kPDEshutoff,0.069155142,"v_r26, v_r27"
kRGS1,0.978827409,"v_r22, v_r24"
kRGS2,0.196614305,"v_r23, v_r25"
kRK1_0,0.76642654,v_r2_0
kRK2,0.29461063,"v_r2_6, v_r2_4, v_r2_5, v_r2_2, v_r2_3, v_r2_0, v_r2_1"
kRK3_ATP,0.321959706,"v_r3_5, v_r3_4, v_r3_3, v_r3_2, v_r3_1, v_r3_0"
kRK4,0.235615017,"v_r4_4, v_r4_5, v_r4_6, v_r4_1, v_r4_2, v_r4_3"
kRec3,0.760872096,v_r30
kRec4,0.765996725,v_r30
kRrecyc,0.002988759,v_r12
ktherm,0.017368811,"v_r7_3, v_r7_2, v_r7_1, v_r7_0, v_r7_6, v_r7_5, v_r7_4"
m,0.541328497,v_r34
ncg,0.113475943,v_r33
