Parameter,Dyn infl,Reactions
kbYA1YYpRb,3.079553805,"rxnY103, rxnY106"
kbYA2YYpRb,3.592805246,"rxnY097, rxnY100"
kbYAPCCYYCyclinA,1.420877538,"rxnY127, rxnY124, rxnY121, rxnY136, rxnY130, rxnY133, rxnY118"
kbYCyclinAYYCdk1,2.653326382,"rxnY081, rxnY083"
kbYCyclinAYYCdk2,2.600666626,"rxnY071, rxnY073, rxnY075, rxnY077"
kbYCyclinDYYCdk4,1.121490084,"rxnY039, rxnY037"
kbYCyclinEYYCdk2,0.488882173,"rxnY067, rxnY065, rxnY063, rxnY069"
kbYD4YYpRb,1.726976953,"rxnY088, rxnY085"
kbYE2FYYpRb,3.057017817,"rxnY113, rxnY111"
kbYE2YYpRb,2.340949407,"rxnY091, rxnY094"
kbYEmi1YYAPCC,0.412864732,rxnY116
kbYp27YYCdk2,0.926940543,"rxnY055, rxnY053, rxnY051, rxnY049, rxnY045, rxnY047"
kbYp27YYCdk4,0.798523329,"rxnY041, rxnY043"
kd0YE2F,0.792220184,rxnY030
kd1Yp27,0.966526635,rxnY013
kdYCyclinA,2.629698121,"rxnY028, rxnY022, rxnY023, rxnY026, rxnY027, rxnY024, rxnY025"
kdYCyclinD,2.603091687,"rxnY002, rxnY003, rxnY004"
kdYCyclinE,2.764173762,"rxnY017, rxnY016, rxnY019, rxnY018, rxnY020"
kdYE2F,2.277256289,"rxnY031, rxnY033, rxnY032"
kdYEmi1,1.368446124,"rxnY035, rxnY036"
kdYp27,1.443636003,"rxnY012, rxnY011, rxnY010, rxnY014, rxnY006, rxnY007, rxnY008, rxnY009"
ksYCyclinD,2.369461187,rxnY001
ksYp27,1.757864862,rxnY005
ktYpRbYYDephos,3.694263193,"rxnY109, rxnY110"
kuYA1YYpRb,1.01557979,"rxnY104, rxnY107"
kuYA2YYpRb,1.193774457,"rxnY098, rxnY101"
kuYAPCCYYCyclinA,1.709450489,"rxnY128, rxnY125, rxnY122, rxnY134, rxnY137, rxnY131, rxnY119"
kuYCyclinAYYCdk1,1.021756969,"rxnY082, rxnY084"
kuYCyclinAYYCdk2,1.832444966,"rxnY078, rxnY072, rxnY074, rxnY076"
kuYCyclinDYYCdk4,0.747517404,"rxnY038, rxnY040"
kuYCyclinEYYCdk2,0.347597939,"rxnY066, rxnY064, rxnY068, rxnY070"
kuYD4YYpRb,0.096230753,"rxnY089, rxnY086"
kuYE2FYYpRb,2.056328689,"rxnY114, rxnY115, rxnY112"
kuYE2YYpRb,0.047940169,"rxnY092, rxnY095"
kuYEmi1YYAPCC,0.350973124,rxnY117
kuYp27YYCdk2,1.569180928,"rxnY056, rxnY054, rxnY052, rxnY050, rxnY048, rxnY046"
kuYp27YYCdk4,0.793280681,"rxnY044, rxnY042"
kudYAPCCYYCyclinA,1.813829792,"rxnY129, rxnY126, rxnY123, rxnY120, rxnY138, rxnY135, rxnY132"
kupYA1YYpRb,2.335236107,"rxnY108, rxnY105"
kupYA2YYpRb,4.310727039,"rxnY099, rxnY102"
kupYD4YYpRb,0.602950506,"rxnY090, rxnY087"
kupYE2YYpRb,2.396608979,"rxnY093, rxnY096"
