Parameter,Dyn infl,Reactions
Ki,0.561949686,R18
Km1,0.046769274,R18
Km10,0.015220408,R28
Km11,6.580897868,R29
Km12,0.333658832,R31
Km13,0.074043299,R32
Km14,0.107057104,R33
Km2,0.350811088,R19
Km3,0.038175441,R20
Km4,2.655349111,R21
Km5,0.140306284,R22
Km6,1.245329794,R23
Km7,0.093306995,R24
Km8,0.409945047,R25
Km9,0.041610525,R26
V12,1.540984497,R12
Vmax1,0.691768512,R18
Vmax2,1.197069476,R19
Vmax3,5.857178443,R21
Vmax4,2.67735552,R23
Vmax5,1.766457203,R25
Vmax6,0.371615033,R28
Vmax7,0.187218057,R33
k1,0.086367958,R1
k10,0.461692132,R10
k11,0.453852225,R11
k13,0.102431499,R13
k14,0.451914721,R14
k15,0.824558504,R15
k18,0.332097274,R27
k19,0.331214015,R27
k2,0.259364065,R2
k20,5.555044873,R30
k21,0.575860143,R14
k3,0.11585876,R3
k4,0.760509748,R4
k5,0.758903712,R5
k9,0.533522899,R9
k_minus16,1.162026861,R16
k_minus17,0.493060356,R17
k_minus6,0.731423717,R6
k_minus7,0.799390752,R7
k_minus8,0.263694885,R8
k_plus16,1.162038485,R16
k_plus17,0.493060286,R17
k_plus6,0.776680574,R6
k_plus7,0.799622568,R7
k_plus8,0.716368151,R8
kcat1,0.774680367,R20
kcat2,2.947284865,R22
kcat3,1.913397734,R24
kcat4,0.248811982,R26
kcat5,5.697235072,R29
kcat6,5.632584134,R31
kcat7,0.183824855,R32
n1,1.158776609,R29
