Parameter,Dyn infl,Reactions
k1,0.414435774,v1
k10,0.558046952,v10
k11,0.000645518,v11
k12,0.744153767,v12
k13,0.013368105,v13
k14,0.857120126,v14
k15,0.007448625,v15
k16,0.532112948,v16
k17,0.902884752,v17
k18,0.136968314,v18
k19,0.008586101,v19
k2,1.827001717,v2
k20,0.519468183,v20
k21,0.175540232,v21
k22,0.228678302,v22
k23,0.060945099,v23
k24,0.140041228,v24
k25,0.010419729,v25
k26,0.221795223,v26
k27,0.062678892,v27
k28,1.0136402,v28
k29,0.823847969,v29
k3,0.536058334,v3
k30,0.003283504,v30
k31,0.621515799,v31
k32,0.825326832,v32
k33,0.817035766,v33
k34,0.041593802,v34
k35,0.027281142,v35
k36,0.037417238,v36
k37,0.006649341,v37
k38,0.683172233,v38
k39,0.543570462,v39
k4,0.266641369,v4
k40,0.017447047,v40
k41,4.217899265,v41
k42,0.777342867,v42
k43,0.136717608,v43
k44,0.006572317,v44
k45,0.785246246,v45
k46,1.286859456,v46
k47,1.110697047,v47
k5,0.210836691,v5
k6,1.866817657,v6
k7,0.083060978,v7
k8,0.870179859,v8
k9,0.015707335,v9
