Parameter,Dyn infl,Reactions
KmA_1,0.381233501,re1
KmA_2,0.232994358,re20
KmB_1,0.083568938,re24
KmB_2,0.940848894,re26
KmB_3,0.662554515,re28
KmC_1,2.838450941,re55
KmC_2,0.526299589,re56
KmD_1,1.308087726,re109
KmE_1,0.000450579,"re112, re110, re111"
KmF_1,0.523669397,"re121, re120"
KmF_11,0.396288497,"re135, re133"
KmF_13,0.749951995,re131
KmF_14,0.662572932,re129
KmF_3,0.417119429,"re126, re125"
KmF_5,0.670149236,"re158, re159, re165, re164, re163, re162, re161, re160"
KmF_7,1.047818299,"re154, re155"
KmF_9,0.744964926,"re134, re136"
VmaxA_1,0.382153155,"re40, re1"
VmaxA_2,0.200018428,"re34, re20"
VmaxB_1,0.211704448,re24
VmaxB_2,0.576442695,"re32, re26"
VmaxB_3,0.652610454,"re33, re28"
VmaxC_1,3.078678865,"re55, re57"
VmaxC_2,0.685690685,"re56, re58"
VmaxD_1,5.260385763,"re98, re109"
VmaxE_1,0.264748653,"re114, re115, re112, re113, re110, re111"
VmaxF_1,0.049349761,"re123, re121, re120, re124"
VmaxF_11,0.167021017,"re135, re137, re133, re139"
VmaxF_13,0.913313811,"re131, re132"
VmaxF_14,0.297560162,"re129, re130"
VmaxF_3,0.116558481,"re128, re127, re126, re125"
VmaxF_5,0.571784634,"re159, re169, re168, re167, re166, re165, re164, re163, re162, re161, re160, re170, re171, re172, re173"
VmaxF_7,0.446117959,"re156, re157, re154, re155, re158"
VmaxF_9,0.948603339,"re134, re136, re138, re140"
g,1.034236633,re73
gD_2,4.830884478,"re174, re175"
kbA_1,0.001099561,"re43, re15"
kbB_1,0.058741395,re23
kbB_4,0.748510777,re39
kbC_1,2.323579425,re52
kbC_2,0.233223998,re47
kbC_3,0.078251767,re48
kbC_4,0.15374046,re51
kbC_8,1.034275578,re68
kbD_1,0.809252341,re100
kbD_3,0.571586997,re86
kbD_4,0.191242403,re87
kbD_5,0.187601885,re89
kbD_6,0.249278194,re88
kbD_7,0.477894289,re93
kbD_8,0.088722841,re92
kbD_9,0.403864272,"re90, re91"
kbE_1,1.121489181,re94
kbE_11,0.059134266,re117
kbE_12,0.349713037,re118
kbE_3,0.271593506,re95
kbE_4,0.803217802,re97
kbE_5,0.60881672,re96
kbE_7,0.761758456,re101
kbE_8,0.755428704,re102
kfA_1,0.093759178,"re43, re15"
kfA_2,0.48044203,"re19, re16, re12, re22"
kfA_3,0.278770435,re14
kfA_4,0.112025095,"re44, re17"
kfA_5,0.003236906,re45
kfB_1,0.066075043,re23
kfB_2,0.581245228,re37
kfB_3,0.006838494,re38
kfB_4,0.74726236,re39
kfC_1,2.323406302,re52
kfC_2,0.237323989,re47
kfC_3,0.077982866,re48
kfC_4,0.153507845,re51
kfC_5,0.326959302,re54
kfC_6,0.790776289,re59
kfC_7,3.10405023,re60
kfC_8,1.035229621,re68
kfD_1,1.079606664,re100
kfD_2,0.829787801,re85
kfD_3,0.784272912,"re87, re86, re89, re88"
kfD_4,0.486495121,"re92, re93"
kfD_5,0.166993372,"re90, re91"
kfE_1,1.121491865,re94
kfE_10,0.016537975,re116
kfE_11,0.107004982,re117
kfE_12,5.94912E-06,re118
kfE_13,0.254613562,re119
kfE_2,1.115765052,"re108, re107, re106"
kfE_3,0.27236907,re95
kfE_4,0.796168683,re97
kfE_5,0.607878371,re96
kfE_7,0.761847159,re101
kfE_8,0.75398788,re102
kfF_1,1.159908482,re141
