Parameter,Dyn infl,Reactions
CPFKAMP,1.265540231,vPFK
CPFKATP,2.396736741,vPFK
CPFKF16BP,2.208784139,vPFK
CPFKF26BP,0.100433398,vPFK
CiPFKATP,2.500169433,vPFK
KATPASE,5.120317778,vATP
KPFKAMP,1.025787111,vPFK
KPFKF16BP,2.06750223,vPFK
KPFKF26BP,2.244331565,vPFK
KSUCC,0.807109019,vSUC
KeqADH,0.63606522,vADH
KeqAK,1.734476078,vGLK
KeqALD,2.175361574,vALD
KeqENO,0.195433397,vENO
KeqG3PDH,0.004578103,vG3PDH
KeqGAPDH,1.674855829,vGAPDH
KeqGLK,0.004080815,vGLK
KeqGLT,0.350073591,vGLT
KeqPGI,0.136010344,vPGI
KeqPGK,3.087027634,vPGK
KeqPGM,0.893528088,vPGM
KeqPYK,0.006173172,vPYK
KiADHACE,0.000230193,vADH
KiADHETOH,2.26663E-07,vADH
KiADHNAD,0.000282812,vADH
KiADHNADH,0.000337155,vADH
KiNADPH,3.532950006,vG6PDH
KiPFKATP,0.410760875,vPFK
Km6PGL,0.928002468,v6PGL
KmADHACE,1.44964E-05,vADH
KmADHETOH,0.001500874,vADH
KmADHNAD,0.000607243,vADH
KmADHNADH,1.26379E-05,vADH
KmALDDHAP,0.001166328,vALD
KmALDF16P,0.021284744,vALD
KmALDGAP,0.000106766,vALD
KmALDGAPi,0.002716597,vALD
KmDHAP,1.511158733,vTPI
KmENOP2G,1.00732904,vENO
KmENOPEP,0.031903641,vENO
KmEry4P,1.069400877,vTransald
KmF6P,1.827834502,"vTransk2, vTransald"
KmG3PDHDHAP,0.819360571,vG3PDH
KmG3PDHGLY,0.307260288,vG3PDH
KmG3PDHNAD,0.398962089,vG3PDH
KmG3PDHNADH,1.272178798,vG3PDH
KmG6P,3.548908793,vG6PDH
KmGA3P,1.16713239,vTPI
KmGAPDHBPG,0.109512279,vGAPDH
KmGAPDHGAP,1.650367324,vGAPDH
KmGAPDHNAD,0.129854374,vGAPDH
KmGAPDHNADH,0.013426656,vGAPDH
KmGLKADP,3.744497115,vGLK
KmGLKATP,4.220989241,vGLK
KmGLKG6P,0.255493398,vGLK
KmGLKGLCi,2.409094029,vGLK
KmGLTGLCi,2.041682395,vGLT
KmGLTGLCo,0.497244621,vGLT
KmGluconate,0.564562832,vGluDH
KmNADP,0.352158937,vG6PDH
KmPDCPYR,1.005546732,vPDC
KmPFKATP,0.035675496,vPFK
KmPFKF6P,1.846578938,vPFK
KmPGIF6P,0.163659769,vPGI
KmPGIG6P,3.354418304,vPGI
KmPGKADP,2.060999235,vPGK
KmPGKATP,2.199720112,vPGK
KmPGKBPG,1.302484883,vPGK
KmPGKP3G,2.159378946,vPGK
KmPGMP2G,0.239318126,vPGM
KmPGMP3G,0.458404527,vPGM
KmPYKADP,0.158912109,vPYK
KmPYKATP,0.096385895,vPYK
KmPYKPEP,0.269767292,vPYK
KmPYKPYR,0.056906745,vPYK
KmRibo5P,0.964139323,vPPI
KmRibose5P,0.041919975,vTransk1
KmRibu5P,0.964259243,vPPI
KmSeduhept,1.044364403,vTransk1
KmXyl,1.354949552,vR5PI
KmXyl5P,1.079074815,vTransk1
L0,1.253015672,vPFK
SUMAXP,5.42693656,"vGLK, vPFK, vPYK, vATP, vPGK"
Vm6PGL,1.076904556,v6PGL
VmADH,0.016538989,vADH
VmALD,0.192375803,vALD
VmDHAP,1.161689688,vTPI
VmENO,1.654721472,vENO
VmG3PDH,2.316354006,vG3PDH
VmG6PDH,3.790961793,vG6PDH
VmGA3P,1.634574878,vTPI
VmGAPDHf,1.994496329,vGAPDH
VmGLK,9.331833597,vGLK
VmGLT,7.618284287,vGLT
VmGluDH,0.781299313,vGluDH
VmPDC,0.258475396,vPDC
VmPFK,1.559108702,vPFK
VmPGI,4.21376765,vPGI
VmPGK,2.626802322,vPGK
VmPGM,0.523605574,vPGM
VmPPIf,0.96429401,vPPI
VmPPIr,0.964088415,vPPI
VmPYK,0.336937116,vPYK
VmR5PIf,1.357570762,vR5PI
VmR5PIr,1.354364728,vR5PI
VmTransaldf,1.104043482,vTransald
VmTransaldr,1.040791954,vTransald
VmTransk1f,1.257237361,vTransk1
VmTransk1r,0.000829625,vTransk1
VmTransk2f,1.246187354,vTransk2
VmTransk2r,0.983144407,vTransk2
gR,1.838730161,vPFK
kNADPH,3.390276193,vNADPH
k_rel_GAPDH,1.994496329,vGAPDH
k_rel_TPI,0.472888816,vTPI
nPDC,0.313164726,vPDC
vATP_KeqAK,0.979959738,vATP
vG3PDH_KeqTPI,0.047730097,vG3PDH
vGluDH_KiNADPH,0.545546065,vGluDH
vGluDH_KmNADP,0.485762142,vGluDH
vPFK_KeqAK,0.199125666,vPFK
vPGK_KeqAK,0.466091383,vPGK
vPYK_KeqAK,0.070821415,vPYK
vR5PI_KmRibu5P,1.357166417,vR5PI
vTransald_KmGA3P,1.098194855,vTransald
vTransald_KmSeduhept,1.075096808,vTransald
vTransk1_KmGA3P,0.001153135,vTransk1
vTransk2_KmEry4P,1.085637763,vTransk2
vTransk2_KmGA3P,0.994401012,vTransk2
vTransk2_KmXyl5P,1.083307501,vTransk2
