Parameter,Dyn infl,Reactions
J100_k,0.015626471,J100
J101_k,0.067614614,J101
J102_k,0.252075009,J102
J103_k1,0.28192228,J103
J103_k2,0.238219931,J103
J104_k1,0.200573275,J104
J104_k2,0.191228613,J104
J105_k1,0.002823872,J105
J105_k2,0.238170082,J105
J106_k1,0.001699813,J106
J106_k2,0.154941934,J106
J107_k,0.013983658,J107
J108_k,0.001455431,J108
J109_k,0.004676965,J109
J10_k,0.001134388,J10
J110_k,0.000558761,J110
J112_k,0.000716386,J112
J113_k1,0.012587598,J113
J113_k2,0.012277865,J113
J115_k1,0.487656231,J115
J115_k2,0.087209032,J115
J116_k1,0.007672575,J116
J116_k2,0.287495397,J116
J117_k1,0.291639145,J117
J117_k2,0.133716235,J117
J118_k1,0.389076495,J118
J118_k2,0.069637457,J118
J119_k1,0.19263005,J119
J119_k2,0.162899986,J119
J11_k,0.001077334,J11
J120_k1,0.000650922,J120
J120_k2,0.205463307,J120
J121_Km1,0.001378636,J121
J121_Vmax,0.001379097,J121
J122_Km1,0.003234528,J122
J122_Vmax,0.003234551,J122
J123_Km1,0.003892211,J123
J123_Vmax,0.015522967,J123
J124_Km1,0.049708076,J124
J124_Vmax,0.049760792,J124
J12_k1,0.656144466,J12
J12_k2,0.098029575,J12
J133_k1,0.312971133,J133
J133_k2,0.316832876,J133
J134_k1,0.278389265,J134
J134_k2,0.283649724,J134
J135_k1,0.263085867,J135
J135_k2,0.220311143,J135
J136_k,0.352919835,J136
J137_Km1,0.0547283,J137
J137_Vmax,0.055515502,J137
J138_Km1,0.046258463,J138
J138_Vmax,0.046539826,J138
J139_Km1,0.040768455,J139
J139_Vmax,0.04077271,J139
J13_k,0.310617314,J13
J140_k1,0.324785139,J140
J140_k2,0.258219294,J140
J141_k1,0.270869645,J141
J141_k2,0.211858606,J141
J142_k1,0.289575092,J142
J142_k2,0.230957773,J142
J143_k1,0.264507377,J143
J143_k2,0.208722043,J143
J144_k1,0.301302588,J144
J144_k2,0.237432086,J144
J145_k1,0.217405203,J145
J145_k2,0.167132733,J145
J146_k1,0.301620773,J146
J146_k2,0.239042473,J146
J147_k1,0.262571298,J147
J147_k2,0.204572193,J147
J148_k1,0.221270031,J148
J148_k2,0.172825402,J148
J149_k1,0.170678581,J149
J149_k2,0.130612769,J149
J14_k,0.224273971,J14
J150_k1,0.266634078,J150
J150_k2,0.210328696,J150
J151_k1,0.198614028,J151
J151_k2,0.153898037,J151
J152_k,0.400819993,J152
J153_k,0.208848992,J153
J154_k,0.239206499,J154
J155_k,0.160640303,J155
J156_k,0.097837539,J156
J157_k,0.054486953,J157
J158_k,0.077689606,J158
J159_k,0.060384544,J159
J15_k,0.004922362,J15
J160_k,0.043507662,J160
J161_k,0.032725558,J161
J162_k,0.052856503,J162
J163_k,0.038613294,J163
J164_k,0.00312131,J164
J165_k1,0.110195955,J165
J165_k2,0.064124763,J165
J166_k1,0.18231008,J166
J166_k2,0.128142284,J166
J167_k,0.044773243,J167
J168_k,0.022645622,J168
J16_k1,0.15619232,J16
J16_k2,0.088174139,J16
J17_k,0.227018337,J17
J18_k,0.030472781,J18
J19_k,0.270054677,J19
J20_k,0.078639196,J20
J21_k,0.304900275,J21
J22_k1,0.140864991,J22
J22_k2,0.133330565,J22
J23_k1,0.016604021,J23
J23_k2,0.252617733,J23
J24_k1,0.332804105,J24
J24_k2,0.132446133,J24
J25_k1,0.205066867,J25
J25_k2,0.164633966,J25
J27_k1,0.013119648,J27
J27_k2,0.281563393,J27
J28_k,0.251979062,J28
J29_k,0.058570485,J29
J30_k,0.018035758,J30
J31_Km1,0.082965133,J31
J31_Vmax,0.312379227,J31
J32_k,0.012027823,J32
J33_k,0.023849096,J33
J34_k1,0.102781039,J34
J34_k2,0.006135352,J34
J35_k1,0.608594634,J35
J35_k2,0.090551225,J35
J36_k1,0.000989922,J36
J36_k2,0.223716844,J36
J37_k,0.289595863,J37
J38_k1,0.273967898,J38
J38_k2,0.195553876,J38
J39_k1,0.105720611,J39
J39_k2,0.060368414,J39
J3_k1,0.718962556,J3
J3_k2,0.237269201,J3
