Parameter,Dyn infl,Reactions
Km36,1.41053E-09,v36
Vm36,1.41053E-09,v36
k1,1.237857631,v1
k10,0.27763183,v10
k13,0.21066885,v13
k14,0.967725265,v14
k15,0.224669451,v15
k16,0.633709706,"v16, v63"
k17,0.688106033,"v17, v64"
k18,0.843161325,"v18, v65, v73, v26"
k19,0.997450839,"v19, v66, v74, v27"
k2,0.432793758,"v11, v2"
k20,1.408797299,"v67, v77, v20, v30"
k21,0.799005174,"v68, v78, v21, v31"
k22,0.370729243,"v69, v22"
k23,0.238730129,"v70, v23"
k24,0.478319856,"v71, v24, v38"
k25,0.092888567,"v72, v25"
k28,0.276561429,"v75, v28"
k29,0.197698917,"v76, v29"
k3,0.804344203,"v12, v3"
k32,0.680977611,"v79, v32"
k33,0.874473785,v33
k34,0.795474623,"v80, v34"
k35,0.012103651,v35
k37,0.475237805,"v81, v82, v37, v39"
k4,2.259216658,"v118, v115, v112, v106, v124, v121, v109, v4"
k40,0.797889045,v40
k41,0.37940996,"v83, v41"
k42,4.887386029,"v84, v42"
k43,0.866019187,"v85, v43"
k44,4.884240368,"v88, v86, v44, v46"
k45,0.389834635,"v87, v45"
k47,0.195080866,"v89, v47"
k48,0.915510627,"v90, v48"
k49,1.909819272,"v93, v91, v49, v51"
k50,0.592944194,"v92, v50"
k52,0.871571806,"v96, v94, v54, v52"
k53,0.746793936,"v95, v53"
k55,1.72584802,"v97, v55"
k56,0.367495764,"v98, v56"
k57,1.712175857,"v99, v57"
k58,0.375999109,"v100, v58"
k59,0.909742534,"v101, v59"
k6,0.574787631,"v114, v117, v111, v103, v102, v105, v104, v120, v123, v108, v6"
k60,0.904244059,"v62, v60"
k61,0.26852374,v61
k7,0.051950605,"v7, v9"
k8,0.934151604,v8
kr1,0.167376641,v1
kr10,0.278602799,v10
kr14,1.050252059,v14
kr16,0.901346151,"v16, v63"
kr17,0.860406361,"v17, v64"
kr18,0.602882548,"v18, v65, v73, v26"
kr19,0.007688232,"v19, v66, v74, v27"
kr2,0.420895723,"v11, v2"
kr20,1.346485769,"v67, v77, v20, v30"
kr21,0.225559821,"v68, v78, v21, v31"
kr22,0.009946896,"v69, v22"
kr23,0.162248139,"v70, v23"
kr24,0.554263812,"v71, v24, v38"
kr25,0.211945735,"v72, v25"
kr28,0.001474418,"v75, v28"
kr29,0.001236381,"v76, v29"
kr3,0.805373421,"v12, v3"
kr32,0.144338072,"v79, v32"
kr33,0.890395646,v33
kr34,1.122297187,"v80, v34"
kr35,0.109175315,v35
kr37,0.416996819,"v81, v82, v37, v39"
kr4,0.115463875,"v118, v115, v112, v106, v124, v121, v109, v4"
kr40,0.8551724,v40
kr41,0.126868932,"v83, v41"
kr42,0.814260835,"v84, v42"
kr44,0.02758118,"v88, v86, v44, v46"
kr48,0.853707766,"v90, v48"
kr50,0.531568337,"v92, v50"
kr52,0.004210638,"v96, v94, v54, v52"
kr56,0.253414535,"v98, v56"
kr58,0.23514926,"v100, v58"
kr6,1.090231512,"v114, v117, v111, v103, v102, v105, v104, v120, v123, v108, v6"
kr8,0.806253865,v8
