Parameter,Dyn infl,Reactions
Kadp,0.309304599,hxk
Katp,0.364796063,hxk
Keq,0.446136416,pgi
Kf6p,0.285142806,pgi
Kg1p,0.086105448,pgm
Kg6p,0.417449067,pgi
Kglc,0.164650349,hxt
Ki,0.188109586,hxt
Kit6p,0.217844684,hxk
Kiudg,0.799278268,ugp
Kiutp,0.592130156,ugp
Kt6p,0.914919795,tpp
Ktrh,0.710173023,nth
Kudg,1.028063373,tps
Kutp,0.212082839,ugp
Vmax,1.75322233,pgi
hxk_Keq,0.029613208,hxk
hxk_Kg6p,0.132520709,hxk
hxk_Kglc,0.73178984,hxk
hxk_Vmax,1.298902386,hxk
hxt_Vmax,2.191163161,hxt
nth_Vmax,0.751597088,nth
pgm_Keq,0.321943275,pgm
pgm_Kg6p,0.105245129,pgm
pgm_Vmax,2.418751495,pgm
tpp_Vmax,0.955326751,tpp
tps_Kg6p,0.659177769,tps
tps_Vmax,1.762820234,tps
ugp_Kg1p,0.611470743,ugp
ugp_Vmax,0.830058222,ugp
