Parameter,Dyn infl,Reactions
Jcdc15_1,0.148361705,"r89, r85, r84"
Jcdh_1,0.150594559,"r34, r31, r32, r33"
Jmbf_1,0.04095115,"r92, r93, r91"
Jmcm_1,0.242563805,r14
Jnet_1,0.135182684,"r61, r60, r65, r64, r69, r68, r70, r71, r58, r59"
Jpolo_1,0.29019137,"r80, r79"
Jswi_1,0.120387114,"r44, r41, r43, r42"
Jtem1_1,0.296376806,"r83, r82, r90"
Net1T_1,0.982116226,"r62, r66, r65, r64, r70, r71, r72, r58, r59"
Swi5T_1,1.275335445,r41
kac15_1,0.224429301,r84
kac15_2,0.187698429,r84
kambf_1,1.458041079,r91
kapolo_2,0.663149899,r79
kasic2_1,0.093899467,r5
kasic5_1,0.532377767,r20
kaswi_1,0.222498385,r41
kaswi_2,0.771277712,r41
katem_2,2.838927421,r82
kd20_1,0.483886697,r29
kd20_2,0.220648105,r30
kd_1,0.277702827,"r65, r71, r59"
kd_2,0.452175954,"r64, r70, r58"
kdcdh_1,0.123342531,r31
kdcdh_2,1.43812236,r31
kdclb2_1,0.788419251,"r7, r3"
kdclb2_2,0.449929098,"r2, r8"
kdclb2_3,0.701153321,"r4, r9"
kdclb5_1,0.161190944,"r16, r23"
kdclb5_2,0.583382274,"r17, r22"
kdcln_1,1.172719119,r19
kdesp_1,0.501159129,"r49, r55"
kdmcm_1,4.213005977,r14
kdpds_1,0.102909594,"r46, r56"
kdpds_2,0.63569249,"r47, r57"
kdpolo_1,1.273195674,"r81, r78"
kdpolo_2,0.729529426,"r81, r78"
kdsic2_1,0.012163085,r6
kdsic5_1,0.065236394,r21
kdsic_1,0.257690173,"r11, r25, r37"
kdsic_2,0.31217652,"r12, r26, r38"
kdsic_3,0.110542141,"r10, r24, r36"
kdsic_4,1.479050997,"r13, r40, r27"
kexp_1,0.009375763,r74
kexp_2,0.429824133,r74
kic15_1,0.226133136,"r89, r85"
kic15_2,0.301355764,"r89, r85"
kimbf_1,0.314234691,r92
kimbf_3,0.354252255,r93
kimp_1,0.305819721,r75
kipolo_1,0.507169623,r80
kiswi_1,0.116712309,r42
kiswi_2,0.503560371,r43
kiswi_3,0.289534814,r44
kitem_1,1.455428277,r83
kitem_2,1.821958957,"r83, r90"
kitem_3,1.013772814,"r83, r90"
kp_1,0.291357121,"r63, r62, r63_1"
kp_3,0.64398678,"r60, r68"
kp_4,0.042123772,"r61, r69"
kpcdh_1,0.025627676,r32
kpcdh_2,0.354778111,r33
kpcdh_3,0.713677856,r34
ks20_1,1.382670644,r28
ks20_2,0.114596658,r28
ksclb2_1,4.512091302,r1
ksclb2_2,0.180135228,r1
ksclb5_1,1.3905108,r15_1
ksclb5_2,0.376315817,r15_1
kscln_1,1.387597795,r18
kscln_2,0.184255573,r18
ksesp_1,0.501163639,r50
ksmcm_1,4.902598707,r14
ksmcm_3,0.179113412,r14
kspds_1,0.372709045,r45
kspds_2,0.36172343,r45
kspolo_1,2.739750533,r77
kspolo_2,0.096348754,r77
kssic_1,0.840786511,r35
kssic_2,0.056067045,r35
lanet_1,0.048897606,"r66, r72"
lapds_1,0.040372032,r53
ldmen_1,0.00124116,r87
ldnet_1,0.048192848,"r67, r73"
ldpds_1,0.037695508,r54
