Parameter,Dyn infl,Reactions
K15,8.840948262,R1
K16,1.699308825,R2
K17,0.985824088,R4
K18,1.12025926,R6
K19,0.939542792,R7
K20,0.204352376,R8
K21,2.238437515,"R12, R10"
K22,18.14597263,"R13, R22"
K23,0.719276029,R14
K24,2.387081123,"R11, R5, R3"
KI19,0.000253364,R1
KI20,0.102303804,R1
KI21,0.365021122,R1
KI22,0.045340376,R1
KI23,7.758487984,R21
KI24,7.10428E-05,R16
a24,0.948511639,R16
k15,8.800333988,R1
k16,1.692355538,R2
k17,0.985353849,R4
k18,1.111051831,R6
k19,0.939010983,R7
k20,0.184056175,R8
k21,2.188567336,"R12, R10"
k22,11.66522531,"R13, R22"
k23,0.465653405,R14
k24,2.34736278,"R11, R5, R3"
kd11,0.029265747,R29
kd12,1.156790413,R23
kd13,0.124968199,R24
kd16,0.240128874,R28
kd2,0.032514235,R27
kd3,0.187768728,R26
kd8,0.323620942,"R9, R25"
kd9,0.023072776,R18
ki1,0.130168359,R7
ki10,0.001655784,R31
ki11,0.002479693,"R12, R10"
ki12,0.183954581,"R12, R10"
ki14,0.046889246,R14
ki15,0.990019762,R14
ki16,0.04607686,R4
ki17,0.900913545,R17
ki18,0.001220107,R4
ki2,0.797958956,R7
ki3,0.36515865,R6
ki4,0.813212935,R20
ki5,0.006557043,R19
ki6,0.149870568,R32
ki7,0.009156017,"R12, R10"
ki8,0.965810841,"R12, R10"
ki9,16.08473191,R30
ks,0.421988463,"R14, R12, R13, R10, R11, R4, R5, R6, R7, R1, R2, R3, R8"
lin,8.800333929,R1
