	CLN3_1	CLN3_2	CDC19_1	CDC19_2	LTE1_1	LTE1_2	CDC15_1	CDC15_2	CDC15_3	FUS3_1	FUS3_2	TPS1_1	TPS1_2	CDC28_1	CDC28_2	PGI1_1	PGI1_2	PGK1_1	PGK1_2	STE7_1	STE7_2	STE7_3	MBP1_1	MBP1_2	SIR2_1	SIR2_2	NTH1_1	NTH1_2	TPI1_1	TPI1_2	TPS2_1	TPS2_2	STE5_1	STE5_2	STE5_3	STE5_4	STE5_5	STE5_6	PDS1_1	PDS1_2	PDS1_3	SWI4_1	SWI4_2	BCK2_1	BCK2_2	CDC55_1	CDC55_2	CDC20_1	CDC20_2	CDC20_3	CDH1_1	CDH1_2	CDH1_3	ESP1_1	ESP1_2	ESP1_3	PFK1_1	PFK1_2	ENO1_1	ENO1_2	STE20_1	STE20_2	STE20_3	GPA1_1	GPA1_2	STE12_1	STE12_2	SOL3_1	SOL3_2	GND1_1	GND1_2	GUT2_1	GUT2_2	BAR1_1	BAR1_2	CDC6_1	CDC6_2	FAR1_1	FAR1_2	FAR1_3	FAR1_4	RPE1_1	RPE1_2	NET1_1	NET1_2	MAD2_1	MAD2_2	TDH2_1	TDH2_2	STE18_1	STE18_2	GPM1_1	GPM1_2	FBA1_1	FBA1_2	UGP1_1	UGP1_2	PDC1_1	PDC1_2	SIC1_1	SIC1_2	SIC1_3	STE11_1	STE11_2	STE11_3	SST2_1	SST2_2	TEM1_1	TEM1_2	CDC5_1	CDC5_2	CDC5_3	MCM1_1	MCM1_2	BUB2_1	BUB2_2	PGM2_1	PGM2_2	ZWF1_1	ZWF1_2	RAP1_1	RAP1_2	RAP1_3	ADH1_1	ADH1_2	RKI1_1	RKI1_2	STE4_1	STE4_2	CLN2_1	CLN2_2	TKL1_1	TKL1_2	CLB2_1	CLB2_2	CLB2_3	CLB5_1	CLB5_2	CLB5_3	STE2_1	STE2_2	STE2_3	CDC14_1	CDC14_2	TPS2_3
CLN3_1																																																																																																																																																	
CLN3_2	0.00356409064304																																																																																																																																																
CDC19_1	0.204973200902	0.0168402390876																																																																																																																																															
CDC19_2	0.388954947415	0.722483494449	0.873057114976																																																																																																																																														
LTE1_1	0.112092826827	0.445792580706	0.355632849644	0.163265868383																																																																																																																																													
LTE1_2	0.241049723003	0.901000294216	0.649522160564	0.199604450002	0.00237587697336																																																																																																																																												
CDC15_1																																																																																																																																																	
CDC15_2																																																																																																																																																	
CDC15_3																																																																																																																																																	
FUS3_1	0.618438056499	0.829898928994	0.887881824924	0.107644015789	0.692795373339	0.856962414765	0.015222118023	0.0362864367401	0.929630337725																																																																																																																																								
FUS3_2	0.189999075757	0.440556907906	0.719990408048	0.197417890144	0.524301891934	0.425704062991	0.315293462802	0.263784908039	0.770298317496	1.23272650146e-06																																																																																																																																							
TPS1_1	0.0306525071939	0.0466785433681	0.169109066173	0.11071874469	0.644643893079	0.850249052014				0.401727280693	0.535950523355																																																																																																																																						
TPS1_2	0.110033846023	0.0695123572861	0.796577700112	0.930185167056	0.647537355641	0.715399795612				0.585781551073	0.975310762963	0.138503800441																																																																																																																																					
CDC28_1	0.505123422632	0.423406627786	0.698531554942	0.312469123235	0.642105404064	0.983593003909				0.293144627031	0.159531541008	0.908363324698	0.321236442358																																																																																																																																				
CDC28_2	0.10997021214	0.763410203878	0.763729232694	0.00593985901953	0.000827415979574	0.002777872233				0.639409416378	0.409175741843	0.102396447066	0.993081633373	0.923906868885																																																																																																																																			
PGI1_1	0.53906387527	0.649880806748	0.288703958592	0.153623396524	0.589171024092	0.0891321978717	0.0890579221585	0.208895397759	0.33152238386	0.249651728728	0.122873941528	0.82925146325	0.154878169688	0.0240185126728	0.769000676514																																																																																																																																		
PGI1_2	0.846291909214	0.0348000980113	0.414561960619	0.911974065349	0.0211361238524	0.0248174324841	0.983835888552	0.863998412952	0.595583805429	0.500312729529	0.966369435819	0.316325968843	0.404861979024	0.260065880984	0.253885117081	0.860575598241																																																																																																																																	
PGK1_1																																																																																																																																																	
PGK1_2	0.837566728082	0.420164043103	0.0170091726535	0.0801969400538	0.686946303545	0.84521181447				0.983984851338	0.97476390446	0.547748966939	0.11201534435	0.0601616471767	0.531617356439	0.758626197018	0.68604218933																																																																																																																																
STE7_1	0.220028064001	0.25379311494	0.49815735569	0.488445092041	0.495165459864	0.330397139257				0.581484704162	0.6697834746	0.224757072485	0.654902353099	0.256311974313	0.926013912664	0.559023067247	0.0970762087694		0.347516607857																																																																																																																														
STE7_2	0.033289662281	0.094720305911	0.00080602030544	0.104456726659	0.824631177982	0.765244195974				0.181492149946	0.915449794307	0.00336657022136	0.109314866606	0.492453196545	0.219244736939	0.296286575287	0.401843650373		0.151571319984	0.745023840411																																																																																																																													
STE7_3	0.346123487063	0.409642122008	0.225310089793	0.464938823616	0.0146921015778	0.318271444287				0.546924329486	0.989369532439	0.71913200646	0.756456580071	0.124166957549	0.0717064144174	0.112336933814	0.0409617699825		0.128943334031	0.0121894821843	0.819330343977																																																																																																																												
MBP1_1	0.970878716255	0.21012313538	0.0249180273229	0.0933567399063	0.825389024678	0.882011953655	0.0572676935747	0.259632719431	0.456513153128	0.289017394785	0.957310792264	0.200610942828	0.81695936242	0.566422057146	0.0127764415693	0.5333431631	0.832402244623		0.0103392154691	0.259629516198	0.535957962789	0.111658229007																																																																																																																											
MBP1_2	0.955616182281	0.00361369401866	6.66181970723e-05	0.00454828351964	0.0129972637573	0.217657867464	0.0592713572055	0.143093668651	0.573052203908	0.541996743127	0.656079218229	0.895030315377	0.483876631318	0.0896102254012	0.00273988834195	0.0491294221288	0.0108705965394		0.220459051042	0.459977341303	0.962271194618	2.38704415498e-06	0.0050686307207																																																																																																																										
