Protein,Gene ID,Knockout growth rate,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
Cdc14,YFR028C,0,1,,8,4.30709E-05,"12853468, 11274204",phosphatase,1-331,0.01514,"r31, r41, r59, r65, r66, r67, r71, r72, r73, r84",0.213979241
Cdc15,YAR019C,0,0.2,,7,0.001243225,"15640837, 9482731, 11290702",Tem binding,280-363,0.15696,"r84, r85, r86, r87, r89",0.089919856
Cdc15,YAR019C,0,0.2,,7,0.001243225,"15640837, 9482731, 11290702",kinase,26-274,0.01649,"r61, r69, r74, r77",0.135015557
Cdc20,YGL116W,0,0.6,,8,0.000209348,"12152084,  9461437, 10632713",APC binding,"1-268, 576-609",0.06292,r30,0.220648105
Cdc20,YGL116W,0,0.6,,8,0.000209348,"12152084,  9461437, 10632713",WD40,268-576,0.02103,"r17, r2, r22, r47, r57, r8",0.5505306
Cdc28,YBR160W,0,2.2,,32,0.00326107,8500168,kinase,185-483,0.00511,"r12, r13, r14, r25, r26, r27, r33, r34, r37, r38, r40, r43, r44, r60, r68, r79, r85, r89, r92, r93",0.358087368
Cdc5,YMR001C,0,0.9,,7,0.000319482,"15640837, 9482731",D-box,1-92,0.03371,"r78, r81",0.963760192
Cdc5,YMR001C,0,0.9,,7,0.000319482,"15640837, 9482731",kinase,92-348,0.0098,"r62, r63, r63_1, r79, r82",0.599304039
Cdc55,YGL190C,0,0.6,,10,0.000413649,16713564,WD40,"23-65, 83-125, 183-222, 232-273, 291-330, 346-388, 500-531",0.0077,"r58, r64, r70",0.391558935
Cdh1,YGL003C,0.87999,0.3,,4,3.81153E-05,"15916961, 12152084, 10074450, 21307936",APC binding,"1-289, 584-597",0.04393,"r31, r33, r34",0.368158984
Cdh1,YGL003C,0.87999,0.3,,4,3.81153E-05,"15916961, 12152084, 10074450, 21307936",WD40,289-584,0.01628,"r30, r4, r78, r81, r9",0.61569098
Clb2,YPR119W,0.97962,1.1,,16,0.001048239,"11719221, 12413490, 12152084, 21307936",N-terminal,1-66,0.05948,"r12, r2, r4, r8, r9",0.461798414
Clb2,YPR119W,0.97962,1.1,,16,0.001048239,"11719221, 12413490, 12152084, 21307936",cyclin,226-478,0.00693,"r14, r26, r33, r38, r43, r5, r6, r60, r68, r79, r85, r89, r92",0.261633205
Clb5,YPR120C,0.93585,0.9,,4,0.000218854,"11572976, 15105375",cyclin,"172-301, 303-423",0.06842,"r20, r21, r25, r34, r37, r44, r93",0.198862637
Clb5,YPR120C,0.93585,0.9,,4,0.000218854,"11572976, 15105375",n-terminal,1-172,0.32534,"r17, r22",0.583382274
Cln2,YPL256C,1.0136,1.2,,8,8.49954E-05,"15454532, 9234722",cyclin,62-197,0.02508,"r13, r27, r40",1.479050997
Esp1,YGR098C,0,0.6,,2,8.08224E-06,"15880121, 11081625, 12123570",n-terminal,1-1204,0.13394,"r53, r54",0.039010822
Esp1,YGR098C,0,0.6,,2,8.08224E-06,"15880121, 11081625, 12123570",separase,1204-1636,0.06193,"r83, r90",0.94477537
Mbp1,YDL056W,0.73339,0.7,,1,0,11206552,dna binding,5-131,0.02557,"r18, r45, r92, r93",0.28616011
Mcm1,YMR043W,0,1.6,,12,0.000784221,12052870,MADS box,25-80,0.00059,"r1, r14, r15_1, r28, r77",0.708370243
Net1,YJL076W,0,0.4,,10,0.000678886,15273393,Cdc14 binding,1-360,0.067,"r58, r59, r60, r61, r62, r63, r63_1, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74",0.149914285
Pds1,YDR113C,0,0.3,,4,0.000136913,"12123570, 15880121, 16483313, 11553328",WD40 binding,2-182,0.08447,"r47, r57",0.63569249
Pds1,YDR113C,0,0.3,,4,0.000136913,"12123570, 15880121, 16483313, 11553328",separase binding,182-404,0.21132,"r53, r54",0.039010822
Sic1,YLR079W,0.85308,1.9,,12,0.000427351,"20399186, 15649124",Cdk1 inhibitor,276-350,0.08309,"r20, r21, r5, r6",0.07936046
Sic1,YLR079W,0.85308,1.9,,12,0.000427351,"20399186, 15649124",cdc4 binding,30-130,0.12947,"r12, r13, r25, r26, r27, r37, r38, r40",0.491843663
Swi5,YDR146C,0.99595,0.8,,8,0.000115067,10409653,dna binding,569-679,0.02173,"r35, r41, r43, r44",0.340593204
Tem1,YML064C,0,0.7,,74,0.009721141,"15640837, 9482731",GTP-ase,55-284,0.0318,"r82, r83, r86, r87, r90",0.375591775
