Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
Apaf1,7626,essential,150.0846006,0.189632726,17,6.73211E-05,"18568041, 11864614",CARD,0-91,0.12761,re43,0.308256309
Apaf1,7626,essential,150.0846006,0.189632726,17,6.73211E-05,"18568041, 11864614",NB-ARC,104-419,0.08688,,
Apaf1,7626,essential,150.0846006,0.189632726,17,6.73211E-05,"18568041, 11864614",WD repeats,615-1226,0.1506,"re41, re42",0.009968693
Bax,7242,essential,848.0236573,0.47634114,28,0.000160819,"17322918, 20159550",BH1,177-199,0.04861,"re24, re25, re27, re29, re30, re31, re32",0.145824908
Bax,7242,essential,848.0236573,0.47634114,28,0.000160819,"17322918, 20159550",BH2,230-247,0.15859,"re24, re25, re27, re29, re30, re31, re32",0.145824908
Bax,7242,essential,848.0236573,0.47634114,28,0.000160819,"17322918, 20159550",BH3,138-154,0.04856,"re24, re25, re27, re29, re30, re31, re32",0.145824908
Bcl2,527,essential,54.32363421,0.294336502,86,0.002766872,"17322918, 20159550, 18568041",BH1,136-157,0.00777,re23,2.040041122
Bcl2,527,essential,54.32363421,0.294336502,86,0.002766872,"17322918, 20159550, 18568041",BH2,187-204,0.02819,re23,2.040041122
Bcl2,527,essential,54.32363421,0.294336502,86,0.002766872,"17322918, 20159550, 18568041",BH3,93-109,0.01949,"re23, re27, re31, re32",0.619061617
Bid,923,non-essential,145.6638513,0.244887406,27,0.000309438,"9727492, 20308068, 20159550, 20801011",BH3,95-235,0.26868,"re23, re24, re25",0.37538202
Bid,923,non-essential,145.6638513,0.244887406,27,0.000309438,"9727492, 20308068, 20159550, 20801011",cleavage site,91-95,0.78097,"re11, re12",0.14316636
Casp3,37912,essential,356.2902213,0.222660208,174,0.007612128,"10578171, 11447297, 10438458, 11864614",cleavage site,"35-39, 191-195",0.18719,"re10, re13, re14, re9",0.031769325
Casp3,37912,essential,356.2902213,0.222660208,174,0.007612128,"10578171, 11447297, 10438458, 11864614",p12,195-298,0.08961,"re15, re16, re17, re19, re20",0.037699752
Casp3,37912,essential,356.2902213,0.222660208,174,0.007612128,"10578171, 11447297, 10438458, 11864614",p17,39-191,0.11245,"re15, re16, re17, re19, re20",0.037699752
Casp6,37455,non-essential,1705.592153,0.288718577,36,0.000232167,"10578171, 11447297, 11864614, 10438458",cleavage site,"30-35, 195-201, 220-226",0.10511,"re15, re16",0.036280679
Casp6,37455,non-essential,1705.592153,0.288718577,36,0.000232167,"10578171, 11447297, 11864614, 10438458",p11,226-327,0.04861,"re7, re8",0.660670853
Casp6,37455,non-essential,1705.592153,0.288718577,36,0.000232167,"10578171, 11447297, 11864614, 10438458",p18,35-195,0.10964,"re7, re8",0.660670853
Casp8,7657,essential,352.0234348,0.301836658,103,0.003005636,"9727492, 10578171",cleavage site,"206-225, 382-398",0.21386,"re7, re8",0.660670853
Casp8,7657,essential,352.0234348,0.301836658,103,0.003005636,"9727492, 10578171",p10,398-498,0.27397,"re10, re11, re12, re9",0.07651839
Casp8,7657,essential,352.0234348,0.301836658,103,0.003005636,"9727492, 10578171",p18,225-382,0.50249,"re10, re11, re12, re9",0.07651839
Casp9,31024,essential,176.1313266,0.193631855,44,0.000525138,"11864614, 10085063",BIR3 binding,353-359,0.34823,re21,0.397659639
Casp9,31024,essential,176.1313266,0.193631855,44,0.000525138,"11864614, 10085063",CARD,0-93,0.17191,re43,0.308256309
Casp9,31024,essential,176.1313266,0.193631855,44,0.000525138,"11864614, 10085063",cleavage site,368-372,0.07818,,
Casp9,31024,essential,176.1313266,0.193631855,44,0.000525138,"11864614, 10085063",p10,372-462,0.10437,"re13, re14",0.024678872
Casp9,31024,essential,176.1313266,0.193631855,44,0.000525138,"11864614, 10085063",p35,177-350,0.2687,"re13, re14",0.024678872
CytC,55617,,22890.94717,0.67711398,12,0.000371091,18568041,CytC,341-444,0.04768,"re41, re42",0.009968693
Parp,1222,essential,3579.1168,0.327056685,67,0.001795663,"10438458, 10578171",cleavage site,260-282,0.49731,"re19, re20",0.035034939
Smac,10532,non-essential,1052.773622,0.362190198,17,4.9456E-05,"14512414, 11864614",IAP-binding motif,187-193,0.05916,re22,0.392403532
Xiap,901,essential,,,58,0.001143454,"14512414, 11864614",BIR2,258-379,0.10973,"re17, re22",0.132254622
Xiap,901,essential,,,58,0.001143454,"14512414, 11864614",BIR3,402-469,0.12864,"re21, re22",0.395022843
Xiap,901,essential,,,58,0.001143454,"14512414, 11864614",RING finger,589-625,0.10725,re18,0.272240919
