Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",C1,288-336,0.0001,,
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",RBD,201-278,0.00683,"J53, J54",0.275353189
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",kinase,607-870,0.00548,"J144, J145, J146, J147, J148, J149, J150, J151, J156, J157, J158, J159, J160, J161, J162, J163",0.133724079
C-raf,48145,essential,84.8879007,0.287857607,112,0.003937133,20674547,C2,254-270,0.02863,,
C-raf,48145,essential,84.8879007,0.287857607,112,0.003937133,20674547,RBD,56-132,0.02277,J52,0.455783205
C-raf,48145,essential,84.8879007,0.287857607,112,0.003937133,20674547,kinase,373-630,0.00862,"J140, J141, J142, J143, J152, J153, J154, J155",0.249129431
C3G,50501,essential,,,17,3.60265E-05,"10318861, 21532593",CBD,547-1028,0.08716,J34,0.025111707
C3G,50501,essential,,,17,3.60265E-05,"10318861, 21532593",GEF,1394-1620,0.00839,J68,0.122719652
Cbl,3802,essential,847.5350724,0.258394154,110,0.00283541,11278445,RING finger,492-539,0.0034,"J14, J17, J19, J28, J41, J42, J45",0.230263303
Cbl,3802,essential,847.5350724,0.258394154,110,0.00283541,11278445,SH2,375-462,0.0047,"J119, J15, J16, J164, J18, J20, J25, J29, J39, J40, J46, J47, J6, J9",0.053859719
Crk,81850,essential,,,189,0.00706969,"17515907, 21532593",SH2,13-126,0.06277,"J103, J104, J107, J108, J164, J38, J44",0.075904845
Crk,81850,essential,,,189,0.00706969,"17515907, 21532593",nSH3,266-321,0.04173,J34,0.025111707
Dok1,1057,non-essential,100.219435,0.11068893,32,0.000100616,"15189452, 19909370",PH,4-117,0.08879,"J123, J31",0.035374249
Dok1,1057,non-essential,100.219435,0.11068893,32,0.000100616,"15189452, 19909370",PRR,"307-370, 409-560",0.24278,"J123, J31, J49, J8",0.024416869
Dok1,1057,non-essential,100.219435,0.11068893,32,0.000100616,"15189452, 19909370",PTB,152-299,0.06803,"J123, J31",0.035374249
EGF,1483,non-essential,101.4741867,0.060037777,14,0.000142198,,EGF,1056-1096,0.23851,re2,0.249121753
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,EGF binding,"65-179, 372-494",0.09282,re2,0.249121753
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,c-terminal,1036-1234,0.16444,"J115, J116, J117, J118, J119, J12, J120, J14, J15, J16, J164, J17, J18, J19, J20, J23, J25, J27, J29, J35, J36, J39, J40, J41, J42, J45, J46, J47, J6, J7, J9",0.075641365
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,dimerization,194-351,0.05748,re8,0.023985724
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,kinase,720-1036,0.01827,"J13, J31, J37",0.219734851
