Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
Apc2,4299,,59.5752945,0.291559766,5,1.10076E-05,10021369,complex-forming,1463-2070,0.0871,"R10, R17, R4, R5, R7, R8",0.583344532
Axin1,2614,essential,789.9089648,0.301394556,39,0.000658981,10617280,Gsk3b binding,354-441,0.05505,"R3, R4, R5, R6",0.519907837
Axin1,2614,essential,789.9089648,0.301394556,39,0.000658981,10617280,RGS,94-219,0.03234,"R4, R5, R7",0.779352452
Axin1,2614,essential,789.9089648,0.301394556,39,0.000658981,10617280,b-catenin binding,441-518,0.06451,"R10, R8",0.443469221
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",C1,288-336,0.0001,,
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",RBD,201-278,0.00683,"R20, R21, R31",0.976010527
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",kinase,607-870,0.00548,"R22, R27",0.461815295
Ctnnb1,1434,essential,41435.05678,0.758097865,241,0.017720577,11591340,Arm,"163-603, 630-714",0.00217,"R10, R16, R17, R8",0.601931052
Ctnnb1,1434,essential,41435.05678,0.758097865,241,0.017720577,11591340,Gsk3b interaction,30-55,0.0001,"R11, R9",0.492077794
Dvl1,20926,non-essential,4269.567539,0.365418086,28,0.000751319,20006983,PDZ,251-325,0.00279,"R1, R2",0.149668784
Erk,37670,essential,3902.459432,0.509443384,191,0.008870317,,kinase,31-869,0.00643,"R18, R24, R25, R26, R32",0.257585286
Gsk3b,55629,essential,2419.792678,0.390466754,115,0.005442429,12504681,kinase,612-901,0.01117,"R3, R32, R33, R4, R6, R9",0.26863418
Mek,2063,essential,1606.587219,0.602320513,49,0.000796282,,kinase,205-601,0.01244,"R22, R23, R24",0.791652983
Rkip,37637,,40887.39989,0.616093303,33,0.000602347,18379591,Rkip,147-337,0.08309,"R26, R27, R28",0.136404285
Rras2,6945,,690.7367409,0.369589041,28,0.000334713,,Ras-like,18-405,0.04245,"R19, R20, R21",0.760299832
Tcf,7813,essential,150.3188401,0.240611337,23,0.000445791,12633671,DNA binding,305-375,0.0001,"R14, R16",0.769932313
