Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
Anapc2,8359,essential,2179.427868,0.579124073,19,0.000139591,16364912,cullin,604-747,0.0255,"rxnY036, rxnY116, rxnY117, rxnY118, rxnY119, rxnY120, rxnY121, rxnY122, rxnY123, rxnY124, rxnY125, rxnY126, rxnY127, rxnY128, rxnY129, rxnY130, rxnY131, rxnY132, rxnY133, rxnY134, rxnY135, rxnY136, rxnY137, rxnY138",0.977732031
Ccna2,55562,essential,98.15915438,0.111356931,40,0.000376344,19001847,cyclin,"264-356, 364-531",0.06431,"rxnY023, rxnY024, rxnY025, rxnY026, rxnY027, rxnY028, rxnY049, rxnY050, rxnY055, rxnY056, rxnY071, rxnY072, rxnY073, rxnY074, rxnY075, rxnY076, rxnY077, rxnY078, rxnY081, rxnY082, rxnY083, rxnY084, rxnY118, rxnY119, rxnY120, rxnY121, rxnY122, rxnY123, rxnY124, rxnY125, rxnY126, rxnY127, rxnY128, rxnY129, rxnY130, rxnY131, rxnY132, rxnY133, rxnY134, rxnY135, rxnY136, rxnY137, rxnY138",1.713126531
Ccnd2,37525,essential,91.99177405,0.171411391,13,4.05109E-05,"19001847, 18414028",cyclin,"181-274, 282-425",0.0338,"rxnY003, rxnY004, rxnY008, rxnY037, rxnY038, rxnY039, rxnY040, rxnY043, rxnY044",1.122052214
Ccne1,14452,non-essential,1243.242501,0.448497981,34,0.00020943,19001847,cyclin,"406-501, 572-660",0.07022,"rxnY010, rxnY011, rxnY013, rxnY014, rxnY017, rxnY018, rxnY019, rxnY020, rxnY047, rxnY048, rxnY053, rxnY054, rxnY063, rxnY064, rxnY065, rxnY066, rxnY067, rxnY068, rxnY069, rxnY070",0.993195487
Cdk1,68203,,,,141,0.005559864,15617830,kinase,21-313,0.02084,"rxnY023, rxnY024, rxnY079, rxnY080, rxnY081, rxnY082, rxnY083, rxnY084, rxnY103, rxnY104, rxnY105, rxnY106, rxnY107, rxnY108, rxnY133, rxnY134, rxnY135, rxnY136, rxnY137, rxnY138",1.829310353
Cdk2,74409,essential,210.0065872,0.23550764,116,0.00392393,15617830,kinase,6-373,0.0177,"rxnY009, rxnY010, rxnY011, rxnY012, rxnY013, rxnY014, rxnY017, rxnY018, rxnY019, rxnY020, rxnY025, rxnY026, rxnY027, rxnY028, rxnY045, rxnY046, rxnY047, rxnY048, rxnY049, rxnY050, rxnY051, rxnY052, rxnY053, rxnY054, rxnY055, rxnY056, rxnY057, rxnY058, rxnY059, rxnY060, rxnY061, rxnY062, rxnY063, rxnY064, rxnY065, rxnY066, rxnY067, rxnY068, rxnY069, rxnY070, rxnY071, rxnY072, rxnY073, rxnY074, rxnY075, rxnY076, rxnY077, rxnY078, rxnY091, rxnY092, rxnY093, rxnY094, rxnY095, rxnY096, rxnY097, rxnY098, rxnY099, rxnY100, rxnY101, rxnY102, rxnY121, rxnY122, rxnY123, rxnY124, rxnY125, rxnY126, rxnY127, rxnY128, rxnY129, rxnY130, rxnY131, rxnY132",1.340467525
Cdk4,55429,essential,59.69947385,0.105971474,62,0.001519659,18414028,kinase,8-299,0.02585,"rxnY003, rxnY004, rxnY007, rxnY008, rxnY037, rxnY038, rxnY039, rxnY040, rxnY041, rxnY042, rxnY043, rxnY044, rxnY085, rxnY086, rxnY087, rxnY088, rxnY089, rxnY090",0.836236161
E2f,3828,essential,356.7953017,0.29429366,68,0.001561919,"20223825, 12598654",Rb1 binding,544-562,0.02769,"rxnY088, rxnY089, rxnY090, rxnY094, rxnY095, rxnY096, rxnY100, rxnY101, rxnY102, rxnY106, rxnY107, rxnY108, rxnY111, rxnY112, rxnY113, rxnY114, rxnY115",1.250547047
E2f,3828,essential,356.7953017,0.29429366,68,0.001561919,"20223825, 12598654",transactivation,503-544,0.06832,"rxnY031, rxnY032, rxnY033",2.277256289
Fbxo5,8135,essential,449.4176817,0.162635776,10,4.24314E-05,16921029,D-box,521-530,0.18592,"rxnY036, rxnY116, rxnY117",0.583135907
Fbxo5,8135,essential,449.4176817,0.162635776,10,4.24314E-05,16921029,f-box,450-498,0.18072,rxnY035,1.368446124
Fbxo5,8135,essential,449.4176817,0.162635776,10,4.24314E-05,16921029,zbr,557-621,0.16905,"rxnY036, rxnY116, rxnY117",0.583135907
Kip1,2999,essential,67.08397892,0.596325373,57,0.001257364,18414028,cdk inhibitor,286-490,0.15371,"rxnY004, rxnY007, rxnY008, rxnY009, rxnY010, rxnY011, rxnY012, rxnY013, rxnY014, rxnY018, rxnY020, rxnY026, rxnY028, rxnY039, rxnY040, rxnY041, rxnY042, rxnY043, rxnY044, rxnY045, rxnY046, rxnY047, rxnY048, rxnY049, rxnY050, rxnY051, rxnY052, rxnY053, rxnY054, rxnY055, rxnY056, rxnY065, rxnY066, rxnY069, rxnY070, rxnY073, rxnY074, rxnY077, rxnY078, rxnY124, rxnY125, rxnY126, rxnY130, rxnY131, rxnY132",1.268932779
Rb1,272,essential,1925.484796,0.53871232,166,0.006660911,20223825,phosphorylation,"383-391, 404-415, 511-519, 528-536, 773-785, 956-968, 973-985, 987-1000",0.12472,"rxnY085, rxnY086, rxnY087, rxnY088, rxnY089, rxnY090, rxnY091, rxnY092, rxnY093, rxnY094, rxnY095, rxnY096, rxnY097, rxnY098, rxnY099, rxnY100, rxnY101, rxnY102, rxnY103, rxnY104, rxnY105, rxnY106, rxnY107, rxnY108, rxnY109, rxnY110",1.221266942
Rb1,272,essential,1925.484796,0.53871232,166,0.006660911,20223825,pocket,"538-751, 812-956",0.05778,"rxnY031, rxnY032, rxnY033, rxnY111, rxnY112, rxnY113, rxnY114, rxnY115",2.428105046
