	CLN3_1	CLN3_2	CDC19_1	CDC19_2	LTE1_1	LTE1_2	CDC15_1	CDC15_2	CDC15_3	FUS3_1	FUS3_2	TPS1_1	TPS1_2	CDC28_1	CDC28_2	PGI1_1	PGI1_2	PGK1_1	PGK1_2	STE7_1	STE7_2	STE7_3	MBP1_1	MBP1_2	SIR2_1	SIR2_2	NTH1_1	NTH1_2	TPI1_1	TPI1_2	TPS2_1	TPS2_2	STE5_1	STE5_2	STE5_3	STE5_4	STE5_5	STE5_6	PDS1_1	PDS1_2	PDS1_3	SWI4_1	SWI4_2	BCK2_1	BCK2_2	CDC55_1	CDC55_2	CDC20_1	CDC20_2	CDC20_3	CDH1_1	CDH1_2	CDH1_3	ESP1_1	ESP1_2	ESP1_3	PFK1_1	PFK1_2	ENO1_1	ENO1_2	STE20_1	STE20_2	STE20_3	GPA1_1	GPA1_2	STE12_1	STE12_2	SOL3_1	SOL3_2	GND1_1	GND1_2	GUT2_1	GUT2_2	BAR1_1	BAR1_2	CDC6_1	CDC6_2	FAR1_1	FAR1_2	FAR1_3	FAR1_4	RPE1_1	RPE1_2	NET1_1	NET1_2	MAD2_1	MAD2_2	TDH2_1	TDH2_2	STE18_1	STE18_2	GPM1_1	GPM1_2	FBA1_1	FBA1_2	UGP1_1	UGP1_2	PDC1_1	PDC1_2	SIC1_1	SIC1_2	SIC1_3	STE11_1	STE11_2	STE11_3	SST2_1	SST2_2	TEM1_1	TEM1_2	CDC5_1	CDC5_2	CDC5_3	MCM1_1	MCM1_2	BUB2_1	BUB2_2	PGM2_1	PGM2_2	ZWF1_1	ZWF1_2	RAP1_1	RAP1_2	RAP1_3	ADH1_1	ADH1_2	RKI1_1	RKI1_2	STE4_1	STE4_2	CLN2_1	CLN2_2	TKL1_1	TKL1_2	CLB2_1	CLB2_2	CLB2_3	CLB5_1	CLB5_2	CLB5_3	STE2_1	STE2_2	STE2_3	CDC14_1	CDC14_2	TPS2_3
CLN3_1																																																																																																																																																	
CLN3_2	0.606424751795																																																																																																																																																
CDC19_1	0.304493456105	0.540677230638																																																																																																																																															
CDC19_2	-0.209668676024	0.0872422668357	-0.0371276554065																																																																																																																																														
LTE1_1	-0.427350383337	0.213070714098	0.256744322685	0.379257035506																																																																																																																																													
LTE1_2	-0.322508467923	0.0351600570184	0.127948048726	0.350977014408	0.685723271174																																																																																																																																												
CDC15_1																																																																																																																																																	
CDC15_2																																																																																																																																																	
CDC15_3																																																																																																																																																	
FUS3_1	0.130199469004	0.0563556372155	-0.0370007458805	0.404133871444	-0.121396370355	-0.0555493446027	-0.999714149316	-0.998376019454	-0.110311450046																																																																																																																																								
FUS3_2	0.334083651436	0.200411703265	0.0939021724142	0.328881704043	-0.194494877976	-0.241997287386	0.879844310107	0.915377248629	-0.353036459631	0.870817735423																																																																																																																																							
TPS1_1	-0.496346217863	-0.46154746683	-0.328932895155	0.377847268082	0.120640280027	-0.0495361865946				0.217490921644	-0.161422760518																																																																																																																																						
TPS1_2	0.378519586141	0.425251969771	-0.0633820798663	0.0215610928606	0.119593895489	-0.0955037587098				-0.14233773794	0.00812488085037	-0.33435002234																																																																																																																																					
CDC28_1	-0.162928455709	-0.195124307875	-0.089846876999	-0.231577243248	0.130831918169	-0.00581417219592				-0.270787964258	-0.356989138196	0.0283242470671	-0.240527341978																																																																																																																																				
CDC28_2	-0.378582203411	0.0739834402854	-0.0697868078856	0.579144404295	0.767948152484	0.714223087727				-0.122537712846	-0.214149260774	0.386228760302	-0.00213416017523	0.0221996709713																																																																																																																																			
PGI1_1	-0.150314179525	-0.111374227506	-0.256722327584	-0.340580933792	0.151793512994	0.454016924564	-0.990231081034	-0.946645965186	-0.867444214348	-0.295420273839	-0.388901904044	-0.0530425251743	-0.339607840603	0.515080700894	0.0721882397006																																																																																																																																		
PGI1_2	-0.0476848126691	-0.486193752935	-0.198795231691	-0.0272039662499	-0.588028612462	-0.575383562973	0.025387798853	0.212009546182	-0.59338316902	0.175564185887	0.0110687007491	0.242906577939	-0.202869876457	0.271930648669	-0.275348634063	0.0408112905604																																																																																																																																	
PGK1_1																																																																																																																																																	
PGK1_2	-0.0476272866358	-0.185748558741	-0.539983030373	0.41131082103	0.113569701338	0.0551554805692				-0.00526992365485	-0.00830489751168	0.147145669358	0.376582606078	0.438832014264	0.153049376094	0.0755225275373	0.0992452909068																																																																																																																																
STE7_1	-0.295082744097	-0.27539990614	-0.165566516964	-0.169274550726	0.177645183323	0.251391337251				-0.143955231423	-0.111604903817	-0.292213886853	-0.109675628218	-0.274000382673	0.0228525865503	-0.143066057124	-0.391847965622		-0.228144507547																																																																																																																														
STE7_2	0.48977634752	0.394407799071	0.702043161067	-0.384109402987	-0.0581263075661	-0.0782723563972				-0.340216265621	-0.027867133657	-0.636834477215	0.379228596923	-0.167739990722	-0.295561813886	-0.252852775019	-0.204148547711		-0.342184243569	0.0754871298947																																																																																																																													
