Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
Akt1,3785,essential,4254.182488,0.567876316,169,0.008506372,20027184,PH,14-121,0.01398,AktActivationReaction,0.367057981
Akt1,3785,essential,4254.182488,0.567876316,169,0.008506372,20027184,kinase,194-455,0.00668,Raf1ByAktDeactivationReaction,0.043456794
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",C1,288-336,0.0001,,
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",RBD,201-278,0.00683,BRafByRap1ActivationReaction,0.777299422
B-raf,3197,essential,274.2659082,0.329409173,37,0.000404762,"10869359, 20674547",kinase,607-870,0.00548,"BRafbyPPtaseDeactivationReaction, MekbyBRafActivationReaction",0.425103958
C-raf,48145,essential,84.8879007,0.287857607,112,0.003937133,20674547,C2,254-270,0.02863,Raf1ByAktDeactivationReaction,0.043456794
C-raf,48145,essential,84.8879007,0.287857607,112,0.003937133,20674547,RBD,56-132,0.02277,Raf1ByRasActivationReaction,0.515385342
C-raf,48145,essential,84.8879007,0.287857607,112,0.003937133,20674547,kinase,373-630,0.00862,"MekbyRaf1ActivationReaction, Raf1byPPtaseDeactivationReaction",0.284102057
C3G,50501,essential,,,17,3.60265E-05,"10318861, 21532593",CBD,547-1028,0.08716,C3GActivationReaction,0.028171818
C3G,50501,essential,,,17,3.60265E-05,"10318861, 21532593",GEF,1394-1620,0.00839,Rap1ActivationReaction,0.344114326
Crk,81850,essential,,,189,0.00706969,"17515907, 21532593",SH2,13-126,0.06277,,
Crk,81850,essential,,,189,0.00706969,"17515907, 21532593",nSH3,266-321,0.04173,C3GActivationReaction,0.028171818
EGF,1483,non-essential,101.4741867,0.060037777,14,0.000142198,,EGF,1056-1096,0.23851,"EGFBindingReaction, EGFUnbindingReaction",0.000433582
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,EGF binding,"65-179, 372-494",0.09282,"EGFBindingReaction, EGFUnbindingReaction",0.000433582
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,c-terminal,1036-1234,0.16444,SosActivationByEGFReaction,0.18425741
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,dimerization,194-351,0.05748,,
EGFR,74545,essential,118.3997451,0.087538456,235,0.014125996,10966463,kinase,720-1036,0.01827,,
Erk,37670,essential,3902.459432,0.509443384,191,0.008870317,,kinase,31-869,0.00643,"ErkActivationReaction, ErkDeactivationReaction, P90RskActivationReaction",0.318429595
Grb2,1576,essential,297.1049447,0.115384647,675,0.064063325,"19323566, 18279888",SH2,58-151,0.01174,"SosActivationByEGFReaction, SosActivationByNGFReaction",0.152441369
Grb2,1576,essential,297.1049447,0.115384647,675,0.064063325,"19323566, 18279888",SH3,"2-55, 160-214",0.00572,"SosActivationByEGFReaction, SosActivationByNGFReaction",0.152441369
Mek,2063,essential,1606.587219,0.602320513,49,0.000796282,,kinase,205-601,0.01244,"ErkActivationReaction, MekDeactivationReaction, MekbyBRafActivationReaction, MekbyRaf1ActivationReaction",0.262655061
