NP_001018030.1		P25379	STDH_YEAST	reviewed	Catabolic L-serine/threonine dehydratase [Includes: L-serine dehydratase (EC 4.3.1.17) (L-serine deaminase); L-threonine dehydratase (EC 4.3.1.19) (L-threonine deaminase)]	CHA1 YCL064C YCL64C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360
NP_001018031.2		Q2V2Q1	ADF1_YEAST	reviewed	Antisense of depressing factor protein 1	ADF1 YCL058W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	113
NP_001027534.1		Q2V2P4	YI156_YEAST	reviewed	Uncharacterized protein YIL156W-B	YIL156W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	73
NP_001032575.1		Q2V2P9	YD19A_YEAST	reviewed	Uncharacterized protein YDR119W-A	YDR119W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	66
NP_001032579.1		Q2V2P5	YI102_YEAST	reviewed	Uncharacterized protein YIL102C-A	YIL102C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	75
NP_001091638.1		A5Z2X5	YP010_YEAST	reviewed	UPF0495 protein YPR010C-A	YPR010C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	72
NP_001106172.4		P0C5N3	YG41A_YEAST	reviewed	Uncharacterized protein YGL041W-A, mitochondrial	YGL041W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	154
NP_001106949.1		P0C5R9	YP17B_YEAST	reviewed	Uncharacterized protein YPR170W-B	YPR170W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	85
NP_001257674.1		P43600	YFJ0_YEAST	reviewed	Uncharacterized protein YFR020W	YFR020W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	232
NP_001291944.1		A0A0B7P3V8	YP41B_YEAST	reviewed	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY4B-P YPLCTy4-1 POL YPL060C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1104
NP_009305.1		P00401	COX1_YEAST	reviewed	Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I)	COX1 OXI3 Q0045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
NP_009307.2		P03878	SCE2_YEAST	reviewed	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	AI4 ENS2 I-SCEII Q0065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	556
NP_009308.2		P03877	SCE3_YEAST	reviewed	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	AI3 ENS3 I-SCEIII Q0060	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415
NP_009312.1		P00856	ATP8_YEAST	reviewed	ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)	ATP8 AAP1 Q0080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	48
NP_009313.1		P00854	ATP6_YEAST	reviewed	ATP synthase subunit a (F-ATPase protein 6)	ATP6 OLI2 OLI4 PHO1 Q0085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259
NP_009315.1		P00163	CYB_YEAST	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	COB CYTB Q0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
NP_009317.1		Q9ZZW7	MBI3_YEAST	reviewed	Cytochrome b mRNA maturase bI3	BI3 Q0115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517
NP_009318.1		P03873	MBI2_YEAST	reviewed	Cytochrome b mRNA maturase bI2	BI2 Q0110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423
NP_009319.1		P61829	ATP9_YEAST	reviewed	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)	OLI1 ATP9 OLI3 PHO2 Q0130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	76
NP_009320.1		P02381	RMAR_YEAST	reviewed	Ribosomal protein VAR1, mitochondrial	VAR1 Q0140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	398
NP_009326.1		P00410	COX2_YEAST	reviewed	Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide II)	COX2 OXI1 Q0250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251
NP_009328.1		P00420	COX3_YEAST	reviewed	Cytochrome c oxidase subunit 3 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide III)	COX3 OXI2 Q0275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269
NP_009333.1		P39709	SEO1_YEAST	reviewed	Probable transporter SEO1	SEO1 YAL067C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	593
NP_009338.1		P39712	FLO9_YEAST	reviewed	Flocculation protein FLO9 (Flocculin-9)	FLO9 YAL063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1322
NP_009339.1		P39708	DHE5_YEAST	reviewed	NADP-specific glutamate dehydrogenase 2 (NADP-GDH 2) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 2)	GDH3 YAL062W FUN51	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
NP_009340.1		P39713	BDH2_YEAST	reviewed	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)	BDH2 YAL061W FUN50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417
NP_009341.2		P39714	BDH1_YEAST	reviewed	(R,R)-butanediol dehydrogenase (EC 1.1.1.4)	BDH1 BDH YAL060W FUN49	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382
NP_009342.2		P39715	ECM1_YEAST	reviewed	Shuttling pre-60S factor ECM1 (Extracellular mutant protein 1) (Protein SIM1)	ECM1 SIM1 YAL059W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	212
NP_009343.1		P27825	CALX_YEAST	reviewed	Calnexin homolog	CNE1 YAL058W FUN48	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	502
